age,gender,education,smoking,alcohol,internet_usage,village_town,music,Ambient,Fusion Beat,Fusion Hardcore,Metal,Jazz,Rock,World & Electronic Music,Punk,Folk,Traditional Music,Indie,"Blues, Soul & Country",Classical,"Comedy, Literature & Cultural Narratives",Pop,Rap
19.0,female,secondary school,current smoker,social drinker,less than an hour a day,city,5.0,2.818181818181818,2.8095238095238093,3.2222222222222223,2.0,2.166666666666667,3.0000000000000004,3.071428571428571,1.3333333333333337,2.166666666666667,3.3000000000000007,2.8666666666666667,2.090909090909091,2.0,3.0,3.555555555555556,3.0
17.0,female,primary school,tried smoking,never,few hours a day,city,5.0,1.9090909090909087,1.380952380952381,1.0,1.0,1.8333333333333333,3.5384615384615383,1.2142857142857142,1.0,1.0,1.7000000000000002,3.4666666666666663,1.1818181818181817,3.0,2.25,1.5555555555555556,1.0
24.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,2.818181818181818,1.809523809523809,2.0,4.0,1.0,4.0,1.4285714285714284,1.8333333333333333,1.8333333333333333,2.8000000000000003,3.0666666666666664,1.5454545454545454,3.0,2.25,2.111111111111111,2.0
19.0,female,secondary school,never smoked,social drinker,few hours a day,city,5.0,3.545454545454545,3.238095238095237,1.4444444444444444,1.0,3.333333333333333,2.076923076923077,3.2857142857142856,1.6666666666666663,3.333333333333333,4.6,2.2,3.272727272727273,1.0,3.75,5.0,3.5
22.0,female,college/bachelor degree,current smoker,social drinker,most of the day,city,5.0,2.636363636363636,2.380952380952381,1.4444444444444444,2.0,3.666666666666667,4.230769230769232,2.857142857142857,4.5,1.1666666666666667,3.2,3.9333333333333327,1.7272727272727273,1.5,2.625,3.111111111111111,2.5
18.0,male,secondary school,former smoker,social drinker,few hours a day,city,1.0,2.818181818181818,2.523809523809524,2.4444444444444446,5.0,2.0,3.692307692307693,2.642857142857143,4.5,2.0,2.9,3.1333333333333333,2.636363636363636,3.0,2.625,2.555555555555556,2.0
19.0,female,college/bachelor degree,current smoker,drink a lot,few hours a day,city,5.0,2.1818181818181817,2.333333333333333,2.888888888888889,1.0,2.166666666666667,3.076923076923077,3.3571428571428568,3.0,1.3333333333333337,2.9000000000000004,2.4000000000000004,1.9090909090909087,1.0,3.0,3.555555555555556,2.5
20.0,female,secondary school,tried smoking,social drinker,few hours a day,village,5.0,2.5454545454545454,3.0476190476190474,1.5555555555555556,2.0,3.0,3.076923076923077,3.214285714285714,3.0,3.0,2.9000000000000004,2.5333333333333337,3.1818181818181817,2.5,3.0,3.555555555555556,3.0
18.0,male,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.9090909090909087,4.285714285714286,4.111111111111111,4.0,4.166666666666667,4.076923076923077,4.571428571428571,3.333333333333333,4.166666666666667,4.6,4.133333333333333,3.909090909090909,3.5,3.75,5.0,4.5
18.0,male,secondary school,former smoker,drink a lot,few hours a day,city,5.0,2.7272727272727275,2.8571428571428568,3.6666666666666665,5.0,4.666666666666667,3.7692307692307696,3.071428571428571,2.166666666666667,3.0,2.5,3.666666666666667,2.363636363636364,3.0,3.625,2.4444444444444446,2.0
20.0,male,secondary school,never smoked,never,few hours a day,city,5.0,3.1818181818181817,3.0,3.6666666666666665,5.0,4.666666666666667,4.461538461538462,2.7857142857142856,3.8333333333333335,2.166666666666667,2.7000000000000006,4.533333333333333,2.636363636363636,4.0,3.0,2.4444444444444446,3.5
24.0,male,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.0909090909090917,1.7142857142857144,2.333333333333333,5.0,1.0,4.0,1.5,3.5,1.0,2.5,3.0666666666666664,2.090909090909091,2.0,3.5,1.5555555555555556,1.0
22.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,2.818181818181818,2.714285714285713,2.333333333333333,1.0,1.3333333333333337,3.615384615384615,2.6428571428571423,2.166666666666667,2.166666666666667,3.3000000000000007,2.8,3.0,2.5,3.0,3.555555555555556,2.5
20.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.090909090909091,3.523809523809524,1.6666666666666667,2.0,3.1666666666666665,3.5384615384615388,3.2857142857142856,3.1666666666666665,2.333333333333333,3.8,2.8666666666666667,2.7272727272727275,1.5,3.375,4.0,3.5
19.0,female,secondary school,tried smoking,never,few hours a day,city,5.0,2.8181818181818183,2.0,3.6666666666666665,5.0,1.3333333333333337,3.3846153846153846,2.4285714285714284,4.666666666666667,1.3333333333333337,2.8000000000000003,2.933333333333333,1.7272727272727273,4.0,2.375,3.0,2.0
20.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,2.636363636363636,3.2857142857142856,1.8888888888888888,1.0,2.333333333333333,1.2307692307692308,3.071428571428571,1.5,2.333333333333333,3.7,1.5333333333333332,2.4545454545454546,1.5,3.375,4.555555555555555,3.5
22.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,3.5454545454545454,3.761904761904762,2.666666666666667,3.0,3.333333333333333,4.307692307692308,3.214285714285714,2.5,5.0,3.9,3.8666666666666663,4.363636363636364,3.5,5.0,4.444444444444445,3.5
19.0,female,secondary school,never smoked,social drinker,few hours a day,city,4.0,3.0909090909090917,2.6666666666666665,3.2222222222222223,2.0,2.166666666666667,3.5384615384615388,3.2142857142857144,3.8333333333333335,3.8333333333333335,2.7,3.4000000000000004,2.090909090909091,2.5,4.25,2.4444444444444446,2.5
20.0,male,secondary school,former smoker,social drinker,few hours a day,village,5.0,1.7272727272727273,3.1904761904761902,2.555555555555556,1.0,1.6666666666666663,3.9230769230769234,3.4285714285714284,3.333333333333333,1.6666666666666663,2.4,3.4000000000000004,2.090909090909091,1.0,3.75,3.888888888888889,5.0
19.0,female,secondary school,tried smoking,social drinker,few hours a day,village,5.0,3.181818181818182,3.2857142857142856,2.333333333333333,1.0,3.0,3.7692307692307696,3.285714285714285,3.0,3.8333333333333335,3.2,3.4000000000000004,2.727272727272727,2.5,3.625,3.0,3.0
25.0,male,secondary school,former smoker,drink a lot,few hours a day,city,4.0,3.0,3.523809523809524,2.7777777777777777,2.0,4.0,3.4615384615384617,3.571428571428571,2.333333333333333,3.1666666666666665,3.4000000000000004,3.466666666666667,3.3636363636363638,3.0,3.375,4.0,4.0
22.0,female,secondary school,tried smoking,social drinker,less than an hour a day,city,4.0,2.818181818181818,4.0,1.3333333333333333,1.0,2.333333333333333,2.0,3.5,1.5,1.5,3.7,1.933333333333333,3.1818181818181817,2.0,3.375,4.555555555555555,3.5
20.0,female,secondary school,current smoker,social drinker,few hours a day,city,5.0,3.3636363636363638,2.761904761904762,3.0,3.0,2.166666666666667,3.9230769230769234,2.714285714285714,3.8333333333333335,1.3333333333333337,3.4,3.6,2.636363636363636,1.5,4.25,3.0,3.5
27.0,female,masters degree,tried smoking,social drinker,few hours a day,city,5.0,4.636363636363637,2.380952380952381,1.1111111111111112,1.0,3.666666666666667,3.3076923076923084,2.571428571428571,1.1666666666666667,2.0,4.2,3.2,2.8181818181818183,4.5,3.25,3.111111111111111,1.5
20.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,3.454545454545454,2.571428571428571,1.8888888888888888,3.0,3.0,4.307692307692308,2.9285714285714284,3.8333333333333335,2.166666666666667,3.9,3.9333333333333327,2.090909090909091,2.0,3.625,3.555555555555556,2.5
19.0,female,secondary school,tried smoking,social drinker,few hours a day,village,5.0,3.545454545454545,3.7142857142857135,1.2222222222222223,1.0,1.3333333333333337,3.0000000000000004,3.142857142857143,1.3333333333333337,3.0,4.4,2.7333333333333334,2.4545454545454546,2.5,3.0,4.111111111111111,3.5
18.0,female,secondary school,never smoked,social drinker,few hours a day,city,5.0,3.6363636363636367,1.5238095238095235,1.0,1.0,1.0,2.1538461538461537,1.6428571428571428,1.0,2.6666666666666665,3.5,1.6,2.3636363636363638,3.5,2.25,2.666666666666667,1.0
21.0,male,secondary school,former smoker,social drinker,few hours a day,city,5.0,2.4545454545454546,1.2857142857142856,2.333333333333333,5.0,1.8333333333333333,2.1538461538461537,1.5,1.8333333333333333,1.0,2.1,1.7333333333333332,1.1818181818181817,3.0,3.5,1.5555555555555556,1.0
23.0,female,secondary school,tried smoking,social drinker,few hours a day,village,5.0,3.454545454545455,4.0,3.111111111111111,1.0,2.5,2.8461538461538463,4.857142857142857,2.5,3.333333333333333,3.8,2.466666666666667,2.8181818181818183,4.5,5.0,5.0,4.5
21.0,female,secondary school,never smoked,never,few hours a day,city,5.0,2.818181818181818,2.2857142857142856,2.7777777777777777,4.0,1.3333333333333337,4.384615384615384,3.0,3.8333333333333335,3.0,3.6000000000000005,3.2,2.909090909090909,2.0,3.0,4.111111111111111,2.0
26.0,female,secondary school,never smoked,social drinker,few hours a day,city,4.0,1.7272727272727273,2.952380952380952,2.4444444444444446,1.0,1.5,1.2307692307692308,3.5,1.5,1.5,2.9,1.4,2.272727272727273,1.0,3.375,4.555555555555555,3.5
20.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,2.090909090909091,4.428571428571429,5.0,5.0,5.0,4.615384615384616,4.142857142857142,1.6666666666666663,5.0,2.0,4.8,4.2727272727272725,3.0,4.375,2.7777777777777777,5.0
19.0,female,secondary school,never smoked,never,few hours a day,city,5.0,3.8181818181818175,2.952380952380953,3.2222222222222223,4.0,2.833333333333333,3.8461538461538463,3.071428571428571,3.666666666666667,2.0,4.3,3.6,2.5454545454545454,2.0,3.875,3.6666666666666665,2.5
20.0,female,college/bachelor degree,tried smoking,drink a lot,most of the day,city,5.0,2.5454545454545454,2.952380952380953,2.333333333333333,1.0,2.166666666666667,3.153846153846154,3.142857142857143,2.166666666666667,1.3333333333333337,3.4000000000000004,3.2,2.090909090909091,1.5,3.625,4.111111111111111,3.0
25.0,female,masters degree,current smoker,social drinker,few hours a day,village,4.0,3.363636363636364,3.3809523809523805,3.0,1.0,3.1666666666666665,3.615384615384616,3.1428571428571423,1.5,2.333333333333333,3.6000000000000005,3.666666666666667,2.2727272727272725,3.0,4.0,4.0,3.5
27.0,male,masters degree,never smoked,social drinker,most of the day,city,5.0,3.545454545454546,3.904761904761904,2.555555555555556,1.0,3.333333333333333,4.0,4.142857142857143,2.5,2.5,4.0,3.2,3.0909090909090917,4.0,4.375,5.0,4.0
21.0,female,college/bachelor degree,current smoker,social drinker,few hours a day,city,5.0,3.727272727272727,4.238095238095238,2.555555555555556,3.0,3.1666666666666665,4.76923076923077,3.3571428571428568,2.333333333333333,3.1666666666666665,4.5,4.266666666666667,4.0,1.5,3.375,4.555555555555555,4.5
19.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.0,2.6666666666666665,2.111111111111111,2.0,3.0,3.5384615384615388,3.071428571428571,2.166666666666667,1.3333333333333337,3.3000000000000007,3.533333333333333,1.9090909090909087,2.5,3.0,3.555555555555556,2.0
20.0,female,secondary school,current smoker,social drinker,few hours a day,village,5.0,3.454545454545454,3.619047619047618,1.7777777777777777,1.0,2.166666666666667,2.0769230769230766,3.428571428571428,2.166666666666667,1.3333333333333337,3.6,2.1333333333333333,1.7272727272727273,1.0,3.625,3.0,4.0
20.0,female,primary school,tried smoking,social drinker,few hours a day,city,5.0,2.5454545454545454,2.0476190476190474,2.333333333333333,3.0,2.0,3.9230769230769234,2.2142857142857144,4.5,1.1666666666666667,2.7,3.0,2.0,1.5,3.25,2.555555555555556,2.5
19.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,city,4.0,3.727272727272727,3.7142857142857135,1.4444444444444444,2.0,2.833333333333333,4.230769230769232,3.071428571428571,3.666666666666667,3.666666666666667,4.3,3.8,2.909090909090909,3.5,2.625,3.6666666666666665,3.0
19.0,female,secondary school,never smoked,never,less than an hour a day,city,5.0,2.818181818181818,3.571428571428571,3.0,3.0,3.8333333333333335,3.7692307692307696,3.714285714285714,2.166666666666667,3.0,3.6000000000000005,3.533333333333333,2.4545454545454546,3.0,3.0,4.111111111111111,2.5
21.0,female,secondary school,current smoker,social drinker,few hours a day,village,5.0,4.2727272727272725,5.0,3.0,4.0,5.0,4.538461538461538,4.571428571428571,2.5,5.0,4.6,4.0,5.0,5.0,3.75,5.0,5.0
18.0,female,secondary school,tried smoking,social drinker,less than an hour a day,city,5.0,4.2727272727272725,3.8571428571428568,2.2222222222222223,2.0,3.1666666666666665,3.076923076923077,3.4285714285714284,2.333333333333333,4.0,4.2,3.1333333333333333,3.545454545454546,4.5,3.375,4.0,3.5
21.0,female,college/bachelor degree,current smoker,social drinker,few hours a day,city,5.0,4.2727272727272725,4.238095238095238,4.111111111111111,4.0,4.166666666666667,4.307692307692308,4.285714285714286,3.333333333333333,5.0,4.6,4.0,4.090909090909091,5.0,3.75,5.0,4.0
23.0,female,college/bachelor degree,current smoker,drink a lot,few hours a day,village,5.0,3.0,3.666666666666666,4.222222222222222,3.0,3.1666666666666665,3.615384615384616,3.8571428571428568,2.333333333333333,2.333333333333333,3.4000000000000004,3.666666666666666,2.7272727272727275,3.5,3.375,4.0,4.0
20.0,female,secondary school,current smoker,drink a lot,few hours a day,city,5.0,3.1818181818181817,2.0476190476190474,1.0,1.0,3.5,4.6923076923076925,2.214285714285714,3.5,1.8333333333333333,3.1000000000000005,4.333333333333333,2.636363636363636,4.0,2.25,2.666666666666667,1.5
21.0,female,secondary school,current smoker,drink a lot,few hours a day,city,5.0,2.363636363636364,2.0,1.5555555555555556,2.0,3.8333333333333335,4.846153846153846,2.214285714285714,2.166666666666667,3.0,2.3000000000000003,4.6,2.363636363636364,2.5,3.0,2.4444444444444446,2.5
19.0,male,secondary school,never smoked,social drinker,few hours a day,village,5.0,2.909090909090909,3.3809523809523805,2.555555555555556,1.0,1.6666666666666663,1.8461538461538465,3.857142857142857,1.6666666666666663,3.333333333333333,3.8,2.0666666666666664,3.272727272727273,2.0,5.0,5.0,3.5
22.0,male,college/bachelor degree,current smoker,drink a lot,few hours a day,city,5.0,2.4545454545454546,2.1904761904761902,3.4444444444444446,3.0,3.666666666666667,4.384615384615385,2.7857142857142856,4.5,1.1666666666666667,2.3,4.266666666666667,2.0,3.0,3.25,2.555555555555556,2.5
23.0,male,college/bachelor degree,tried smoking,social drinker,most of the day,city,5.0,3.090909090909091,2.4285714285714284,1.1111111111111112,1.0,2.833333333333333,3.8461538461538463,2.571428571428571,2.833333333333333,2.0,3.4000000000000004,3.6,2.3636363636363638,3.5,2.0,3.111111111111111,2.0
23.0,male,secondary school,current smoker,social drinker,few hours a day,city,5.0,3.0,3.619047619047618,3.111111111111111,1.0,3.333333333333333,3.5384615384615388,3.7857142857142856,2.5,1.6666666666666663,3.5,3.466666666666667,2.7272727272727275,3.5,3.75,4.444444444444445,4.0
23.0,male,secondary school,never smoked,social drinker,few hours a day,city,5.0,3.8181818181818175,4.619047619047619,5.0,5.0,5.0,4.615384615384616,4.714285714285714,4.166666666666667,4.166666666666667,4.2,4.8,4.818181818181818,4.5,3.75,5.0,5.0
22.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,2.090909090909091,3.2857142857142856,3.444444444444444,1.0,3.0,2.6923076923076925,3.3571428571428568,1.3333333333333337,1.3333333333333337,2.1,2.333333333333333,2.4545454545454546,1.5,3.625,2.4444444444444446,4.0
18.0,female,primary school,former smoker,social drinker,most of the day,city,5.0,3.272727272727273,2.523809523809524,1.7777777777777777,1.0,2.166666666666667,3.0769230769230766,2.5,3.0,1.3333333333333337,3.7,2.4,1.9090909090909087,1.5,3.0,3.555555555555556,2.5
17.0,male,primary school,tried smoking,social drinker,few hours a day,city,4.0,1.9090909090909087,2.6666666666666665,3.555555555555556,3.0,2.166666666666667,2.307692307692308,2.8571428571428568,2.166666666666667,1.3333333333333337,2.2,2.0,2.1818181818181817,2.0,3.0,3.0,3.5
20.0,male,secondary school,tried smoking,social drinker,less than an hour a day,village,4.0,3.090909090909091,3.666666666666666,4.555555555555555,4.0,3.1666666666666665,2.5384615384615383,4.071428571428571,3.1666666666666665,2.333333333333333,4.1,2.6,2.909090909090909,1.5,3.375,4.555555555555555,3.5
24.0,female,college/bachelor degree,never smoked,never,few hours a day,village,3.0,3.454545454545454,4.047619047619048,1.3333333333333333,1.0,4.0,2.3846153846153846,3.5,1.5,3.1666666666666665,4.300000000000001,2.4,3.090909090909091,1.5,4.0,4.555555555555555,4.0
18.0,female,college/bachelor degree,tried smoking,drink a lot,few hours a day,village,5.0,4.0,2.571428571428571,4.222222222222222,5.0,3.8333333333333335,4.153846153846154,3.7142857142857135,4.666666666666667,2.166666666666667,3.8,3.733333333333333,1.909090909090909,2.0,4.25,3.0,2.0
20.0,female,secondary school,tried smoking,social drinker,most of the day,city,5.0,3.636363636363636,2.2857142857142856,1.0,1.0,1.0,2.5384615384615383,1.8571428571428568,1.0,1.0,4.0,1.8,1.7272727272727273,1.5,2.875,3.2222222222222223,1.0
17.0,male,secondary school,former smoker,social drinker,few hours a day,city,5.0,2.636363636363636,3.571428571428571,2.555555555555556,1.0,3.333333333333333,2.076923076923077,3.857142857142857,1.6666666666666663,2.5,3.8,2.2,3.0909090909090917,1.5,3.75,5.0,5.0
20.0,male,secondary school,tried smoking,never,few hours a day,city,4.0,1.7272727272727273,2.523809523809524,2.2222222222222223,1.0,1.1666666666666667,1.7692307692307696,3.142857142857143,1.1666666666666667,2.833333333333333,2.4000000000000004,2.0,2.090909090909091,2.5,2.625,3.111111111111111,3.0
28.0,female,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.545454545454545,3.428571428571429,1.4444444444444444,2.0,2.0,3.692307692307693,2.5,3.666666666666667,2.0,4.3,3.1333333333333333,2.5454545454545454,1.5,2.625,3.6666666666666665,3.0
21.0,male,secondary school,former smoker,social drinker,few hours a day,city,5.0,1.7272727272727273,3.571428571428571,2.333333333333333,1.0,2.166666666666667,2.0769230769230766,3.142857142857143,2.166666666666667,2.166666666666667,2.8000000000000003,2.1333333333333333,2.7272727272727275,1.5,3.0,4.111111111111111,4.0
22.0,male,masters degree,tried smoking,social drinker,few hours a day,city,5.0,3.1818181818181817,2.6666666666666665,1.6666666666666667,1.0,1.1666666666666667,1.076923076923077,2.571428571428571,1.1666666666666667,1.1666666666666667,2.6,1.1333333333333333,2.727272727272727,4.5,2.625,2.0,3.5
20.0,male,secondary school,tried smoking,drink a lot,few hours a day,village,5.0,1.9090909090909087,3.333333333333333,2.2222222222222223,4.0,3.8333333333333335,4.692307692307692,2.8571428571428568,3.8333333333333335,3.8333333333333335,1.6000000000000003,4.266666666666667,3.2727272727272725,2.5,3.0,1.8888888888888888,3.0
18.0,male,secondary school,tried smoking,social drinker,few hours a day,city,4.0,2.5454545454545454,2.2857142857142856,1.3333333333333333,1.0,1.5,2.0,2.2857142857142856,1.5,1.5,2.6,1.8,1.7272727272727275,1.5,4.0,2.888888888888889,4.0
21.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,2.1818181818181817,4.142857142857142,4.0,2.0,2.5,3.0,4.142857142857143,1.6666666666666663,1.6666666666666663,3.4000000000000004,2.8,2.909090909090909,1.5,3.75,5.0,4.5
24.0,female,college/bachelor degree,never smoked,never,few hours a day,village,4.0,4.090909090909091,4.523809523809524,3.0,1.0,4.833333333333334,3.846153846153847,4.5,1.5,2.333333333333333,4.7,3.8,3.8181818181818175,1.5,4.0,4.555555555555555,4.0
21.0,female,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.6363636363636367,4.142857142857142,3.333333333333333,2.0,3.1666666666666665,3.846153846153847,3.928571428571429,2.333333333333333,4.0,4.1,3.533333333333333,4.181818181818182,3.5,3.375,4.555555555555555,4.5
19.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,2.818181818181818,4.047619047619048,2.7777777777777777,2.0,3.1666666666666665,4.076923076923077,3.8571428571428568,3.1666666666666665,2.333333333333333,3.4000000000000004,3.4,2.7272727272727275,2.0,3.375,4.0,4.0
22.0,male,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.363636363636364,4.190476190476191,2.7777777777777777,2.0,3.1666666666666665,3.846153846153847,4.071428571428571,3.1666666666666665,1.5,3.9,3.533333333333333,2.7272727272727275,3.0,4.0,4.555555555555555,4.0
18.0,female,secondary school,never smoked,social drinker,few hours a day,city,5.0,3.272727272727273,1.0,2.333333333333333,5.0,1.8333333333333333,3.5384615384615383,1.0,3.5,2.6666666666666665,2.2,3.4666666666666663,1.3636363636363638,3.0,3.5,1.0,1.0
22.0,female,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.4545454545454546,3.999999999999999,4.333333333333333,3.0,4.166666666666667,3.615384615384616,4.142857142857143,1.6666666666666663,1.6666666666666663,4.2,3.1333333333333333,2.909090909090909,3.5,3.75,5.0,4.0
19.0,female,secondary school,former smoker,drink a lot,few hours a day,city,5.0,4.2727272727272725,2.619047619047618,2.333333333333333,5.0,4.333333333333334,4.538461538461538,1.857142857142857,4.333333333333334,1.0,3.0,4.133333333333333,2.3636363636363638,5.0,2.25,1.0,2.5
22.0,male,college/bachelor degree,tried smoking,social drinker,most of the day,city,5.0,2.636363636363636,2.3809523809523805,3.888888888888889,4.0,2.166666666666667,3.384615384615385,2.571428571428571,1.3333333333333337,3.0,2.8000000000000003,3.066666666666667,3.9090909090909087,4.0,2.375,3.0,2.0
24.0,male,masters degree,current smoker,social drinker,few hours a day,city,4.0,2.5454545454545454,3.2857142857142856,3.111111111111111,3.0,3.1666666666666665,3.846153846153847,3.571428571428571,3.1666666666666665,3.1666666666666665,3.0,3.533333333333333,3.3636363636363638,3.0,3.375,4.0,4.0
18.0,female,college/bachelor degree,former smoker,social drinker,few hours a day,village,5.0,3.454545454545454,4.047619047619048,2.2222222222222223,2.0,3.1666666666666665,4.384615384615385,4.0,4.0,1.5,4.0,4.066666666666666,2.545454545454546,1.5,4.0,4.0,3.5
21.0,female,secondary school,former smoker,drink a lot,few hours a day,city,5.0,2.909090909090909,3.4761904761904763,3.6666666666666665,1.0,5.0,4.846153846153847,3.8571428571428568,1.6666666666666663,1.6666666666666663,3.8,4.666666666666666,2.454545454545455,3.0,5.0,5.0,3.0
22.0,female,masters degree,tried smoking,social drinker,few hours a day,village,5.0,3.0,2.142857142857143,1.8888888888888888,3.0,3.8333333333333335,4.307692307692308,2.4285714285714284,3.0,2.166666666666667,3.0000000000000004,4.066666666666666,1.909090909090909,3.5,3.0,3.0,2.0
19.0,female,secondary school,tried smoking,social drinker,most of the day,village,4.0,2.727272727272727,2.0476190476190474,1.2222222222222223,1.0,1.3333333333333337,3.0000000000000004,2.714285714285714,3.0,2.166666666666667,3.2,2.7333333333333334,1.909090909090909,2.0,2.375,3.0,2.0
18.0,female,secondary school,never smoked,social drinker,few hours a day,village,5.0,4.2727272727272725,1.857142857142857,2.333333333333333,5.0,1.0,3.307692307692308,2.571428571428571,4.333333333333334,4.333333333333334,4.0,2.2,2.090909090909091,2.0,3.5,2.111111111111111,1.0
19.0,female,college/bachelor degree,never smoked,social drinker,few hours a day,city,5.0,3.2727272727272725,2.1904761904761907,1.0,1.0,4.333333333333334,3.230769230769231,1.7857142857142856,1.8333333333333333,2.6666666666666665,2.7,3.2,2.909090909090909,4.0,1.625,1.5555555555555556,1.0
24.0,male,masters degree,current smoker,drink a lot,few hours a day,village,5.0,4.0,1.809523809523809,1.6666666666666667,3.0,4.333333333333334,2.923076923076923,1.6428571428571428,2.6666666666666665,4.333333333333334,3.7,2.5333333333333337,4.090909090909091,4.0,2.875,2.666666666666667,1.0
21.0,male,secondary school,tried smoking,social drinker,most of the day,city,5.0,2.909090909090909,3.095238095238095,3.111111111111111,1.0,1.6666666666666663,3.153846153846154,3.7857142857142856,3.333333333333333,1.6666666666666663,3.5,3.0,2.272727272727273,1.0,5.0,4.444444444444445,5.0
21.0,male,college/bachelor degree,tried smoking,drink a lot,few hours a day,city,5.0,2.818181818181818,3.4761904761904763,1.7777777777777777,1.0,3.8333333333333335,3.230769230769231,3.428571428571428,2.166666666666667,2.166666666666667,3.0000000000000004,3.0,2.3636363636363638,3.0,3.0,3.0,4.0
19.0,male,college/bachelor degree,former smoker,drink a lot,few hours a day,city,5.0,1.7272727272727273,1.4285714285714286,4.0,5.0,1.0,2.6153846153846154,1.6428571428571428,3.5,1.0,1.7000000000000002,2.6,1.1818181818181817,1.0,2.25,1.5555555555555556,2.0
19.0,male,primary school,tried smoking,drink a lot,most of the day,village,5.0,1.7272727272727273,2.095238095238095,1.6666666666666667,1.0,2.0,1.076923076923077,2.0,1.1666666666666667,1.1666666666666667,1.8000000000000005,1.2666666666666666,1.3636363636363638,1.0,2.625,2.0,3.5
