age,gender,education,smoking,alcohol,internet_usage,music,slow_songs,dance,folk,country,classical,musical,pop,rock,metal_hardrock,punk,hiphop_rap,reggae_ska,swing_jazz,rock_n_roll,alternative,latino,techno_trance,opera,Cluster
20.0,male,secondary school,never smoked,never,few hours a day,5.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,12
24.0,male,secondary school,tried smoking,social drinker,few hours a day,5.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,47
22.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,33
20.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,53
19.0,female,secondary school,tried smoking,never,few hours a day,5.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,30
20.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,4.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,79
22.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,5.0,3.0,5.0,2.0,2.0,39
19.0,female,secondary school,never smoked,social drinker,few hours a day,4.0,5.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,17
20.0,male,secondary school,former smoker,social drinker,few hours a day,5.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,5.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,6
19.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,17
25.0,male,secondary school,former smoker,drink a lot,few hours a day,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,40
22.0,female,secondary school,tried smoking,social drinker,less than an hour a day,4.0,3.0,4.0,1.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0,18
20.0,female,secondary school,current smoker,social drinker,few hours a day,5.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,86
27.0,female,masters degree,tried smoking,social drinker,few hours a day,5.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,5.0,60
20.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,5.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,67
19.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,3.0,3.0,1.0,4.0,5.0,5.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,5.0,1.0,1.0,92
18.0,female,secondary school,never smoked,social drinker,few hours a day,5.0,3.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3
21.0,male,secondary school,former smoker,social drinker,few hours a day,5.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,19
23.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,5.0,5.0,3.0,1.0,5.0,2.0,5.0,4.0,1.0,2.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0,0
21.0,female,secondary school,never smoked,never,few hours a day,5.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,67
26.0,female,secondary school,never smoked,social drinker,few hours a day,4.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,27
20.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,48
19.0,female,secondary school,never smoked,never,few hours a day,5.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,38
20.0,female,college/bachelor degree,tried smoking,drink a lot,most of the day,5.0,4.0,3.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,90
25.0,female,masters degree,current smoker,social drinker,few hours a day,4.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0,77
27.0,male,masters degree,never smoked,social drinker,most of the day,5.0,4.0,5.0,2.0,2.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,28
21.0,female,college/bachelor degree,current smoker,social drinker,few hours a day,5.0,3.0,4.0,3.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,2.0,53
19.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,26
20.0,female,secondary school,current smoker,social drinker,few hours a day,5.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,18
20.0,female,primary school,tried smoking,social drinker,few hours a day,5.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,86
19.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,4.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0,54
19.0,female,secondary school,never smoked,never,less than an hour a day,5.0,3.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,85
21.0,female,secondary school,current smoker,social drinker,few hours a day,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,24
18.0,female,secondary school,tried smoking,social drinker,less than an hour a day,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,80
21.0,female,college/bachelor degree,current smoker,social drinker,few hours a day,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,1
23.0,female,college/bachelor degree,current smoker,drink a lot,few hours a day,5.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,5
20.0,female,secondary school,current smoker,drink a lot,few hours a day,5.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,5.0,1.0,4.0,2.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0,10
21.0,female,secondary school,current smoker,drink a lot,few hours a day,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,1.0,2.0,74
19.0,male,secondary school,never smoked,social drinker,few hours a day,5.0,5.0,5.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,23
22.0,male,college/bachelor degree,current smoker,drink a lot,few hours a day,5.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0,99
23.0,male,college/bachelor degree,tried smoking,social drinker,most of the day,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,74
23.0,male,secondary school,current smoker,social drinker,few hours a day,5.0,3.0,5.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,5
23.0,male,secondary school,never smoked,social drinker,few hours a day,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,24
22.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,5.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0,1.0,3.0,5.0,1.0,42
18.0,female,primary school,former smoker,social drinker,most of the day,5.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,30
17.0,male,primary school,tried smoking,social drinker,few hours a day,4.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,49
20.0,male,secondary school,tried smoking,social drinker,less than an hour a day,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,1.0,96
24.0,female,college/bachelor degree,never smoked,never,few hours a day,3.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0,9
18.0,female,college/bachelor degree,tried smoking,drink a lot,few hours a day,5.0,5.0,3.0,2.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0,99
20.0,female,secondary school,tried smoking,social drinker,most of the day,5.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,3
17.0,male,secondary school,former smoker,social drinker,few hours a day,5.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,27
20.0,male,secondary school,tried smoking,never,few hours a day,4.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,68
28.0,female,secondary school,former smoker,social drinker,few hours a day,5.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,64
21.0,male,secondary school,former smoker,social drinker,few hours a day,5.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,18
22.0,male,masters degree,tried smoking,social drinker,few hours a day,5.0,3.0,2.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,68
20.0,male,secondary school,tried smoking,drink a lot,few hours a day,5.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,1.0,2.0,94
18.0,male,secondary school,tried smoking,social drinker,few hours a day,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,49
21.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,5.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0,27
24.0,female,college/bachelor degree,never smoked,never,few hours a day,4.0,4.0,4.0,2.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0,63
21.0,female,secondary school,former smoker,social drinker,few hours a day,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,57
19.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,63
22.0,male,secondary school,tried smoking,social drinker,few hours a day,5.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,63
18.0,female,secondary school,never smoked,social drinker,few hours a day,5.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0,62
22.0,female,secondary school,former smoker,social drinker,few hours a day,5.0,3.0,5.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,3.0,53
19.0,female,secondary school,former smoker,drink a lot,few hours a day,5.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,43
22.0,male,college/bachelor degree,tried smoking,social drinker,most of the day,5.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,72
24.0,male,masters degree,current smoker,social drinker,few hours a day,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,21
18.0,female,college/bachelor degree,former smoker,social drinker,few hours a day,5.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,2.0,1.0,63
21.0,female,secondary school,former smoker,drink a lot,few hours a day,5.0,5.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,34
22.0,female,masters degree,tried smoking,social drinker,few hours a day,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,74
19.0,female,secondary school,tried smoking,social drinker,most of the day,4.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,26
18.0,female,secondary school,never smoked,social drinker,few hours a day,5.0,5.0,1.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,7
19.0,female,college/bachelor degree,never smoked,social drinker,few hours a day,5.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,1.0,4.0,50
24.0,male,masters degree,current smoker,drink a lot,few hours a day,5.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,60
21.0,male,secondary school,tried smoking,social drinker,most of the day,5.0,5.0,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,6
21.0,male,college/bachelor degree,tried smoking,drink a lot,few hours a day,5.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,52
19.0,male,college/bachelor degree,former smoker,drink a lot,few hours a day,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,25
19.0,male,primary school,tried smoking,drink a lot,most of the day,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,49
22.0,male,secondary school,former smoker,drink a lot,few hours a day,3.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,3.0,1.0,8
18.0,female,secondary school,never smoked,social drinker,less than an hour a day,5.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,18
21.0,female,secondary school,tried smoking,drink a lot,few hours a day,5.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,38
18.0,male,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,99
20.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,1.0,2.0,3.0,5.0,4.0,1.0,5.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0,43
22.0,male,secondary school,tried smoking,drink a lot,few hours a day,5.0,5.0,5.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,0
21.0,male,secondary school,tried smoking,drink a lot,few hours a day,4.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,94
24.0,male,college/bachelor degree,never smoked,social drinker,few hours a day,5.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,95
19.0,male,secondary school,former smoker,social drinker,few hours a day,5.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,57
18.0,female,secondary school,tried smoking,social drinker,less than an hour a day,5.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,26
17.0,female,primary school,never smoked,social drinker,few hours a day,4.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,62
18.0,male,secondary school,tried smoking,drink a lot,few hours a day,5.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,20
21.0,male,college/bachelor degree,former smoker,drink a lot,few hours a day,5.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,17
22.0,female,college/bachelor degree,tried smoking,social drinker,most of the day,5.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,72
20.0,female,secondary school,never smoked,social drinker,less than an hour a day,5.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,1.0,5
21.0,female,college/bachelor degree,former smoker,social drinker,few hours a day,3.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,8
19.0,female,secondary school,former smoker,drink a lot,less than an hour a day,5.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,3
17.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,4.0,5.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,53
21.0,female,college/bachelor degree,former smoker,social drinker,few hours a day,5.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,37
18.0,female,secondary school,never smoked,never,few hours a day,5.0,3.0,2.0,2.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,35
23.0,male,college/bachelor degree,never smoked,social drinker,few hours a day,5.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,99
16.0,female,secondary school,tried smoking,social drinker,few hours a day,4.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,27
23.0,male,college/bachelor degree,never smoked,drink a lot,most of the day,5.0,5.0,4.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,78
21.0,male,secondary school,current smoker,social drinker,few hours a day,4.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,21
23.0,female,masters degree,tried smoking,social drinker,few hours a day,5.0,3.0,3.0,2.0,2.0,5.0,3.0,1.0,5.0,2.0,4.0,1.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,74
20.0,female,secondary school,tried smoking,never,few hours a day,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,50
20.0,male,secondary school,current smoker,social drinker,few hours a day,4.0,4.0,1.0,4.0,2.0,5.0,5.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,3.0,50
20.0,female,secondary school,never smoked,social drinker,few hours a day,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,17
20.0,female,secondary school,tried smoking,social drinker,few hours a day,3.0,5.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,29
19.0,female,primary school,tried smoking,social drinker,most of the day,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,72
15.0,female,primary school,never smoked,never,few hours a day,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,66
