age,gender,education,smoking,alcohol,internet_usage,village_town,music_consumption,slow_songs,dance,folk,country,classical,musical,pop,rock,metal_hardrock,punk,hiphop_rap,reggae_ska,swing_jazz,rock_n_roll,alternative,latino,techno_trance,opera
20.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0
19.0,female,secondary school,tried smoking,social drinker,few hours a day,village,5.0,3.0,3.0,3.0,1.0,4.0,5.0,5.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,5.0,1.0,1.0
18.0,female,secondary school,never smoked,social drinker,few hours a day,city,5.0,3.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
21.0,male,secondary school,former smoker,social drinker,few hours a day,city,5.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
23.0,female,secondary school,tried smoking,social drinker,few hours a day,village,5.0,5.0,5.0,3.0,1.0,5.0,2.0,5.0,4.0,1.0,2.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0
21.0,female,secondary school,never smoked,never,few hours a day,city,5.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0
26.0,female,secondary school,never smoked,social drinker,few hours a day,city,4.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0
20.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
19.0,female,secondary school,never smoked,never,few hours a day,city,5.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0
20.0,female,college/bachelor degree,tried smoking,drink a lot,most of the day,city,5.0,4.0,3.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0
25.0,female,masters degree,current smoker,social drinker,few hours a day,village,4.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0
27.0,male,masters degree,never smoked,social drinker,most of the day,city,5.0,4.0,5.0,2.0,2.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0
21.0,female,college/bachelor degree,current smoker,social drinker,few hours a day,city,5.0,3.0,4.0,3.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,2.0
19.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0
20.0,female,secondary school,current smoker,social drinker,few hours a day,village,5.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0
20.0,female,primary school,tried smoking,social drinker,few hours a day,city,5.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0
19.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,city,4.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0
19.0,female,secondary school,never smoked,never,less than an hour a day,city,5.0,3.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0
21.0,female,secondary school,current smoker,social drinker,few hours a day,village,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0
18.0,female,secondary school,tried smoking,social drinker,less than an hour a day,city,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0
21.0,female,college/bachelor degree,current smoker,social drinker,few hours a day,city,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0
23.0,female,college/bachelor degree,current smoker,drink a lot,few hours a day,village,5.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0
20.0,female,secondary school,current smoker,drink a lot,few hours a day,city,5.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,5.0,1.0,4.0,2.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0
21.0,female,secondary school,current smoker,drink a lot,few hours a day,city,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,1.0,2.0
19.0,male,secondary school,never smoked,social drinker,few hours a day,village,5.0,5.0,5.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0
22.0,male,college/bachelor degree,current smoker,drink a lot,few hours a day,city,5.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0
23.0,male,college/bachelor degree,tried smoking,social drinker,most of the day,city,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0
23.0,male,secondary school,current smoker,social drinker,few hours a day,city,5.0,3.0,5.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0
23.0,male,secondary school,never smoked,social drinker,few hours a day,city,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
22.0,male,college/bachelor degree,tried smoking,social drinker,few hours a day,city,5.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0,1.0,3.0,5.0,1.0
18.0,female,primary school,former smoker,social drinker,most of the day,city,5.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0
17.0,male,primary school,tried smoking,social drinker,few hours a day,city,4.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0
20.0,male,secondary school,tried smoking,social drinker,less than an hour a day,village,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,1.0
24.0,female,college/bachelor degree,never smoked,never,few hours a day,village,3.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0
18.0,female,college/bachelor degree,tried smoking,drink a lot,few hours a day,village,5.0,5.0,3.0,2.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0
20.0,female,secondary school,tried smoking,social drinker,most of the day,city,5.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0
17.0,male,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
20.0,male,secondary school,tried smoking,never,few hours a day,city,4.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0
28.0,female,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0
21.0,male,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0
22.0,male,masters degree,tried smoking,social drinker,few hours a day,city,5.0,3.0,2.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0
20.0,male,secondary school,tried smoking,drink a lot,few hours a day,village,5.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,1.0,2.0
18.0,male,secondary school,tried smoking,social drinker,few hours a day,city,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
21.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.0,5.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0
24.0,female,college/bachelor degree,never smoked,never,few hours a day,village,4.0,4.0,4.0,2.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0
21.0,female,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
19.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0
22.0,male,secondary school,tried smoking,social drinker,few hours a day,city,5.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0
18.0,female,secondary school,never smoked,social drinker,few hours a day,city,5.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0
22.0,female,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.0,5.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,3.0
19.0,female,secondary school,former smoker,drink a lot,few hours a day,city,5.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0
22.0,male,college/bachelor degree,tried smoking,social drinker,most of the day,city,5.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0
24.0,male,masters degree,current smoker,social drinker,few hours a day,city,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
18.0,female,college/bachelor degree,former smoker,social drinker,few hours a day,village,5.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,2.0,1.0
21.0,female,secondary school,former smoker,drink a lot,few hours a day,city,5.0,5.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0
22.0,female,masters degree,tried smoking,social drinker,few hours a day,village,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0
19.0,female,secondary school,tried smoking,social drinker,most of the day,village,4.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0
18.0,female,secondary school,never smoked,social drinker,few hours a day,village,5.0,5.0,1.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0
19.0,female,college/bachelor degree,never smoked,social drinker,few hours a day,city,5.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,1.0,4.0
24.0,male,masters degree,current smoker,drink a lot,few hours a day,village,5.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0
21.0,male,secondary school,tried smoking,social drinker,most of the day,city,5.0,5.0,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0
21.0,male,college/bachelor degree,tried smoking,drink a lot,few hours a day,city,5.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0
19.0,male,college/bachelor degree,former smoker,drink a lot,few hours a day,city,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0
19.0,male,primary school,tried smoking,drink a lot,most of the day,village,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
22.0,male,secondary school,former smoker,drink a lot,few hours a day,village,3.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,3.0,1.0
18.0,female,secondary school,never smoked,social drinker,less than an hour a day,city,5.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0
21.0,female,secondary school,tried smoking,drink a lot,few hours a day,city,5.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0
18.0,male,secondary school,tried smoking,social drinker,few hours a day,village,5.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0
20.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.0,1.0,2.0,3.0,5.0,4.0,1.0,5.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0
22.0,male,secondary school,tried smoking,drink a lot,few hours a day,city,5.0,5.0,5.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0
21.0,male,secondary school,tried smoking,drink a lot,few hours a day,village,4.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0
24.0,male,college/bachelor degree,never smoked,social drinker,few hours a day,village,5.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0
19.0,male,secondary school,former smoker,social drinker,few hours a day,city,5.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0
18.0,female,secondary school,tried smoking,social drinker,less than an hour a day,city,5.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0
17.0,female,primary school,never smoked,social drinker,few hours a day,city,4.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0
18.0,male,secondary school,tried smoking,drink a lot,few hours a day,city,5.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
21.0,male,college/bachelor degree,former smoker,drink a lot,few hours a day,city,5.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0
22.0,female,college/bachelor degree,tried smoking,social drinker,most of the day,village,5.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0
20.0,female,secondary school,never smoked,social drinker,less than an hour a day,city,5.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,1.0
21.0,female,college/bachelor degree,former smoker,social drinker,few hours a day,village,3.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0
19.0,female,secondary school,former smoker,drink a lot,less than an hour a day,city,5.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0
17.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,4.0,5.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0
21.0,female,college/bachelor degree,former smoker,social drinker,few hours a day,city,5.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0
18.0,female,secondary school,never smoked,never,few hours a day,village,5.0,3.0,2.0,2.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0
23.0,male,college/bachelor degree,never smoked,social drinker,few hours a day,city,5.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0
16.0,female,secondary school,tried smoking,social drinker,few hours a day,village,4.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
23.0,male,college/bachelor degree,never smoked,drink a lot,most of the day,city,5.0,5.0,4.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0
21.0,male,secondary school,current smoker,social drinker,few hours a day,city,4.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
23.0,female,masters degree,tried smoking,social drinker,few hours a day,city,5.0,3.0,3.0,2.0,2.0,5.0,3.0,1.0,5.0,2.0,4.0,1.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0
20.0,female,secondary school,tried smoking,never,few hours a day,village,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0
20.0,male,secondary school,current smoker,social drinker,few hours a day,city,4.0,4.0,1.0,4.0,2.0,5.0,5.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,3.0
20.0,female,secondary school,never smoked,social drinker,few hours a day,city,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0
20.0,female,secondary school,tried smoking,social drinker,few hours a day,village,3.0,5.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
19.0,female,primary school,tried smoking,social drinker,most of the day,city,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0
15.0,female,primary school,never smoked,never,few hours a day,city,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0
